Size_sqft,Bedrooms,Price
1624.0,5,277000.0
3352.0,2,513000.0
2696.0,5,473000.0
2296.0,2,371000.0
968.0,1,145000.0
968.0,4,195000.0
674.0,4,143000.0
3099.0,4,524000.0
2303.0,5,381000.0
2624.0,1,397000.0
562.0,5,126000.0
3410.0,5,532000.0
2997.0,1,465000.0
1137.0,1,186000.0
1045.0,1,167000.0
1050.0,1,163000.0
1413.0,4,224000.0
2074.0,3,333000.0
1796.0,3,293000.0
1374.0,1,200000.0
2336.0,3,377000.0
918.0,3,176000.0
1376.0,1,254000.0
1599.0,3,273000.0
1868.0,5,335000.0
2856.0,2,447000.0
1099.0,2,146000.0
2043.0,1,316000.0
2277.0,4,383000.0
639.0,1,155000.0
2323.0,4,385000.0
1012.0,2,178000.0
695.0,1,114000.0
3347.0,5,529000.0
3397.0,3,562000.0
2925.0,4,494000.0
1414.0,3,258000.0
793.0,3,131000.0
2553.0,1,421000.0
1820.0,3,275000.0
866.0,5,192000.0
1986.0,3,372000.0
603.0,1,81000.0
3228.0,5,523000.0
1276.0,2,213000.0
2488.0,3,393000.0
1435.0,1,194000.0
2060.0,2,330000.0
2140.0,2,320000.0
1055.0,4,208000.0
3409.0,5,543000.0
2825.0,3,485000.0
3318.0,1,492000.0
3184.0,4,511000.0
2294.0,5,410000.0
3266.0,4,505000.0
765.0,5,169000.0
1088.0,5,239000.0
636.0,3,93000.0
1476.0,5,275000.0
